app,genre,rank,chart
Netflix,Entertainment,1,top-grossing-apps
Pokémon GO,Games,2,top-grossing-apps
Pandora Music,Music,3,top-grossing-apps
Candy Crush Saga,Games,4,top-grossing-apps
Fortnite,Games,5,top-grossing-apps
Candy Crush Soda Saga,Games,6,top-grossing-apps
ROBLOX,Games,7,top-grossing-apps
Hulu: Watch TV Shows & Movies,Entertainment,8,top-grossing-apps
Homescapes,Games,9,top-grossing-apps
Toy Blast,Games,10,top-grossing-apps
Toon Blast,Games,11,top-grossing-apps
Gardenscapes,Games,12,top-grossing-apps
Slotomania Slots: Vegas Casino,Games,13,top-grossing-apps
Clash of Clans,Games,14,top-grossing-apps
Final Fantasy XV: A New Empire,Games,15,top-grossing-apps
MARVEL Contest of Champions,Games,16,top-grossing-apps
Choices: Stories You Play,Games,17,top-grossing-apps
Clash Royale,Games,18,top-grossing-apps
Guns of Glory,Games,19,top-grossing-apps
Star Wars™: Galaxy of Heroes,Games,20,top-grossing-apps
卡牌西游记-经典三国战西游,Games,21,top-grossing-apps
Fishdom,Games,22,top-grossing-apps
Golf Clash,Games,23,top-grossing-apps
Big Fish Casino: Slots & Games,Games,24,top-grossing-apps
Design Home,Games,25,top-grossing-apps
MADDEN NFL Football,Games,26,top-grossing-apps
Slots Casino - House of Fun,Games,27,top-grossing-apps
Sing! by Smule,Music,28,top-grossing-apps
Summoners War,Games,29,top-grossing-apps
Episode - Choose Your Story,Games,30,top-grossing-apps
TIDAL,Music,31,top-grossing-apps
Spotify Music,Music,32,top-grossing-apps
DoubleDown Casino Slots & More,Games,33,top-grossing-apps
Lords Mobile,Games,34,top-grossing-apps
World Series of Poker - WSOP,Games,35,top-grossing-apps
Game of Thrones: Conquest™,Games,36,top-grossing-apps
SoundCloud - Music & Audio,Music,37,top-grossing-apps
Cashman Casino Vegas Slot Game,Games,38,top-grossing-apps
LinkedIn,Social Networking,39,top-grossing-apps
POP! Slots – Casino Slot Games,Games,40,top-grossing-apps
Slots: Jackpot Party Casino,Games,41,top-grossing-apps
Heart of Vegas – Slots Casino,Games,42,top-grossing-apps
iHeartRadio,Music,43,top-grossing-apps
CSR Racing 2,Games,44,top-grossing-apps
Panda Pop - Bubble Shooter,Games,45,top-grossing-apps
HotspotShield VPN & Wifi Proxy,Productivity,46,top-grossing-apps
Slot Machines - Huuuge Casino,Games,47,top-grossing-apps
TuneIn Radio: Music & Podcasts,Music,48,top-grossing-apps
Minecraft,Games,49,top-grossing-apps
Calm,Health & Fitness,50,top-grossing-apps
Township,Games,51,top-grossing-apps
MyFitnessPal,Health & Fitness,52,top-grossing-apps
DoubleU Casino: Vegas Slots,Games,53,top-grossing-apps
King of Avalon: Dragon Warfare,Games,54,top-grossing-apps
Dropbox,Productivity,55,top-grossing-apps
War Dragons,Games,56,top-grossing-apps
Angry Birds 2,Games,57,top-grossing-apps
Caesars Casino Official Slots,Games,58,top-grossing-apps
Sweat: Kayla Itsines Fitness,Health & Fitness,59,top-grossing-apps
Candy Crush Jelly Saga,Games,60,top-grossing-apps
Zynga Poker - Texas Holdem,Games,61,top-grossing-apps
DRAGON BALL Z DOKKAN BATTLE,Games,62,top-grossing-apps
Bingo Blitz - Bingo Games,Games,63,top-grossing-apps
Solitaire Tripeaks – Card Game,Games,64,top-grossing-apps
Last Day on Earth: Survival,Games,65,top-grossing-apps
8 Ball Pool™,Games,66,top-grossing-apps
Jackpot Magic Slots™ & Casino,Games,67,top-grossing-apps
Wizard of Oz: Casino Slots,Games,68,top-grossing-apps
Farm Heroes Saga,Games,69,top-grossing-apps
Cookie Jam - Match 3 Games,Games,70,top-grossing-apps
Love Nikki-Dress UP Queen,Games,71,top-grossing-apps
Disney Emoji Blitz,Games,72,top-grossing-apps
Legendary - Game of Heroes,Games,73,top-grossing-apps
Idle Heroes - Idle Games,Games,74,top-grossing-apps
Clash of Kings - CoK,Games,75,top-grossing-apps
Pixel Gun 3D,Games,76,top-grossing-apps
The Sims™ Mobile,Games,77,top-grossing-apps
Fire Emblem Heroes,Games,78,top-grossing-apps
Best VPN Proxy Betternet,Productivity,79,top-grossing-apps
MileIQ: Mileage Log for Taxes,Finance,80,top-grossing-apps
War and Order,Games,81,top-grossing-apps
Crunchyroll - Everything Anime,Entertainment,82,top-grossing-apps
انتقام السلاطين,Games,83,top-grossing-apps
The Sims™ FreePlay,Games,84,top-grossing-apps
Amazon Music,Music,85,top-grossing-apps
Colorfy: Coloring Book & Arts,Entertainment,86,top-grossing-apps
New YAHTZEE® With Buddies Dice,Games,87,top-grossing-apps
Hay Day,Games,88,top-grossing-apps
Emoji+ —Creative Emojis,Entertainment,89,top-grossing-apps
VSCO,Photo & Video,90,top-grossing-apps
Kim Kardashian: Hollywood,Games,91,top-grossing-apps
Merge Dragons!,Games,92,top-grossing-apps
Word Crossy - A crossword game,Games,93,top-grossing-apps
Cooking Craze- Restaurant Game,Games,94,top-grossing-apps
Magic Piano by Smule,Music,95,top-grossing-apps
Aaptiv: #1 Audio Fitness App,Health & Fitness,96,top-grossing-apps
Bike Race: Motorcycle Racing,Games,97,top-grossing-apps
Covet Fashion,Games,98,top-grossing-apps
Gold Fish Casino Slot Machines,Games,99,top-grossing-apps
Beat Maker Go - Make Music,Music,100,top-grossing-apps
Minecraft,Games,1,paid-apps
Heads Up!,Games,2,paid-apps
Toca Life: After School,Education,3,paid-apps
Plague Inc.,Games,4,paid-apps
卡牌西游记-经典三国战西游,Games,5,paid-apps
Bloons TD 5,Games,6,paid-apps
Geometry Dash,Games,7,paid-apps
Facetune,Photo & Video,8,paid-apps
Human Anatomy Atlas 2018,Medical,9,paid-apps
HotSchedules,Business,10,paid-apps
NBA 2K18,Games,11,paid-apps
Papa's Freezeria To Go!,Games,12,paid-apps
Pocket Build,Games,13,paid-apps
The Game of Life,Games,14,paid-apps
Glitché,Photo & Video,15,paid-apps
Construction Simulator 2,Games,16,paid-apps
Alto's Odyssey,Games,17,paid-apps
AutoSleep Tracker for Watch,Health & Fitness,18,paid-apps
Terraria,Games,19,paid-apps
Afterlight 2,Photo & Video,20,paid-apps
Five Nights at Freddy's,Games,21,paid-apps
Toca Hair Salon 3,Education,22,paid-apps
TouchRetouch,Photo & Video,23,paid-apps
Scribblenauts Remix,Games,24,paid-apps
kirakira+,Photo & Video,25,paid-apps
7 Minute Workout Challenge,Health & Fitness,26,paid-apps
Exploding Kittens®,Games,27,paid-apps
True Skate,Games,28,paid-apps
My Talking Pet,Entertainment,29,paid-apps
Lucky Cactus Grow,Entertainment,30,paid-apps
Infinity Blade III,Games,31,paid-apps
8mm Vintage Camera,Photo & Video,32,paid-apps
Evoland,Games,33,paid-apps
R-Play - Remote Play for PS4,Entertainment,34,paid-apps
Marshawn Lynch Pro Football,Games,35,paid-apps
Nexomon,Games,36,paid-apps
My Baby's Beat,Lifestyle,37,paid-apps
The Room: Old Sins,Games,38,paid-apps
Five Nights at Freddy's 2,Games,39,paid-apps
PlantSnap Plant Identification,Education,40,paid-apps
Cute CUT Pro,Photo & Video,41,paid-apps
Scribblenauts Unlimited,Games,42,paid-apps
Forest - Stay focused,Productivity,43,paid-apps
Full Fitness : Exercise Workout Trainer,Health & Fitness,44,paid-apps
Flick Home Run !,Games,45,paid-apps
Toca Life: Hospital,Education,46,paid-apps
1 Second Everyday: Video Diary,Photo & Video,47,paid-apps
Dark Sky Weather,Weather,48,paid-apps
Five Nights at Freddy's: Sister Location,Games,49,paid-apps
Goat Simulator,Games,50,paid-apps
NBA JAM by EA SPORTS™,Games,51,paid-apps
The Escapists,Games,52,paid-apps
W.E.L.D.E.R.,Games,53,paid-apps
Weight Loss RUNNING PRO,Health & Fitness,54,paid-apps
Papa's Cupcakeria To Go!,Games,55,paid-apps
Scanner Pro,Business,56,paid-apps
Earn to Die 2,Games,57,paid-apps
Infinity Blade,Games,58,paid-apps
Assassin's Creed Identity,Games,59,paid-apps
Toca Life: Pets,Education,60,paid-apps
Mirror for Samsung TV,Photo & Video,61,paid-apps
Monument Valley 2,Games,62,paid-apps
Toca Life: City,Education,63,paid-apps
Word Swag - Cool Fonts,Photo & Video,64,paid-apps
Sky Guide AR,Reference,65,paid-apps
Superimpose,Photo & Video,66,paid-apps
Toca Kitchen 2,Education,67,paid-apps
Trivia Crack (No Ads),Games,68,paid-apps
Couch to 5K® - Run training,Health & Fitness,69,paid-apps
The Impossible Game,Games,70,paid-apps
Getting Over It,Games,71,paid-apps
CamToPlan PRO,Utilities,72,paid-apps
AdBlock,Utilities,73,paid-apps
Papa's Burgeria To Go!,Games,74,paid-apps
Camera+,Photo & Video,75,paid-apps
Five Nights at Freddys 4,Games,76,paid-apps
Farming Simulator 18,Games,77,paid-apps
Infinite Flight,Games,78,paid-apps
Ski Tracks,Navigation,79,paid-apps
Granny Smith,Games,80,paid-apps
Infinity Blade II,Games,81,paid-apps
Papa's Hot Doggeria To Go!,Games,82,paid-apps
Papa's Pizzeria To Go!,Games,83,paid-apps
Reigns,Games,84,paid-apps
ProCam 5,Photo & Video,85,paid-apps
My Macros+ | Diet & Calories,Health & Fitness,86,paid-apps
Procreate Pocket,Entertainment,87,paid-apps
TonalEnergy Tuner & Metronome,Music,88,paid-apps
Pou,Games,89,paid-apps
Monument Valley,Games,90,paid-apps
Florence,Games,91,paid-apps
Papa's Taco Mia To Go!,Games,92,paid-apps
Toca Life: School,Education,93,paid-apps
Cluedo: Classic Mystery Game,Games,94,paid-apps
Toca Life: Office,Education,95,paid-apps
Fantasy Baseball Draft Kit '18,Sports,96,paid-apps
Toca Life: Vacation,Education,97,paid-apps
Zombieville USA 2,Games,98,paid-apps
Toca Lab: Elements,Entertainment,99,paid-apps
HappyCow Find Vegan Food,Travel,100,paid-apps
Fortnite,Games,1,free-apps
Rise Up,Games,2,free-apps
Flip the Gun - Simulator Game,Games,3,free-apps
Instagram,Photo & Video,4,free-apps
Snapchat,Photo & Video,5,free-apps
Messenger,Social Networking,6,free-apps
Facebook,Social Networking,7,free-apps
Google Maps - GPS Navigation,Navigation,8,free-apps
Bitmoji,Utilities,9,free-apps
Netflix,Entertainment,10,free-apps
Gmail - Email by Google,Productivity,11,free-apps
Spotify Music,Music,12,free-apps
Granny,Games,13,free-apps
The Sims™ Mobile,Games,14,free-apps
Helix Jump,Games,15,free-apps
Pandora Music,Music,16,free-apps
Uber,Travel,17,free-apps
Amazon – Shopping made easy,Shopping,18,free-apps
Wish - Shopping Made Fun,Shopping,19,free-apps
SPILLZ,Games,20,free-apps
